;Copyright: Alejandro Melo
;http://clubedobvemex.blogspot.com
;alejandrovargasmelo@yahoo.com.mx
;https://www.facebook.com/OpenbveMexico

;Puertas========================================================

CreateMeshBuilder,
Addvertex, 0, 3.53, 0.87
Addvertex, 0, 3.53, 0.01
Addvertex, 0, 1.37, 0.01
Addvertex, 0, 1.37, 0.87
Addface, 0,1,2,3
GenerateNormals
LoadTexture, puerta 4.png
SetTextureCoordinates, 0,0,0
SetTextureCoordinates, 1,1,0
SetTextureCoordinates, 2,1,1
SetTextureCoordinates, 3,0,1
SetDecalTransparentColor, 255,255,255

CreateMeshBuilder,
Addvertex, 0, 3.53, 0.87
Addvertex, 0, 3.53, 0.01
Addvertex, 0, 1.37, 0.01
Addvertex, 0, 1.37, 0.87
Addface, 3,2,1,0
GenerateNormals
LoadTexture, puerta 5.png
SetTextureCoordinates, 0,0,0
SetTextureCoordinates, 1,1,0
SetTextureCoordinates, 2,1,1
SetTextureCoordinates, 3,0,1
SetDecalTransparentColor, 255,255,255
